"hgnc_symbol","ensembl_peptide_id"
"C21orf91","ENSP00000284881"
"C21orf91","ENSP00000383404"
"C21orf91","ENSP00000383403"
"C21orf91","ENSP00000385566"
"CHRNB1","ENSP00000492221"
"CHRNB1","ENSP00000491344"
"CHRNB1","ENSP00000491163"
"CHRNB1","ENSP00000491113"
"CHRNB1","ENSP00000491764"
"CHRNB1","ENSP00000492078"
"CRYL1","ENSP00000496154"
"CRYL1","ENSP00000298248"
"CRYL1","ENSP00000493784"
"CRYL1","ENSP00000372262"
"CRYL1","ENSP00000493818"
"CRYL1","ENSP00000494794"
"CRYL1","ENSP00000495342"
"CRYL1","ENSP00000494114"
"CRYL1","ENSP00000479908"
"CRYL1","ENSP00000495054"
"DNAJC15","ENSP00000368523"
"DUSP11","ENSP00000516942"
"DUSP11","ENSP00000516943"
"DUSP11","ENSP00000516944"
"DUSP11","ENSP00000516945"
"DUSP11","ENSP00000516946"
"DUSP11","ENSP00000516947"
"DUSP11","ENSP00000516948"
"DUSP11","ENSP00000516949"
"DUSP11","ENSP00000516950"
"DUSP11","ENSP00000516951"
"C6orf52","ENSP00000493792"
"C6orf52","ENSP00000494707"
"C6orf52","ENSP00000495171"
"C6orf52","ENSP00000493951"
"C6orf52","ENSP00000495269"
"AKAP11","ENSP00000025301"
"CLDN14","ENSP00000382092"
"CLDN14","ENSP00000382090"
"CLDN14","ENSP00000382087"
"CLDN14","ENSP00000382088"
"CLDN14","ENSP00000339292"
"ATP5PO","ENSP00000393496"
"ATP5PO","ENSP00000290299"
"ATP5PO","ENSP00000498572"
"ATP5PO","ENSP00000407220"
"ATP5PO","ENSP00000393211"
"ATP5PO","ENSP00000403964"
"CHODL","ENSP00000382993"
"CHODL","ENSP00000382996"
"CHODL","ENSP00000383001"
"CHODL","ENSP00000382992"
"CHODL","ENSP00000299295"
"CHODL","ENSP00000443566"
"CHODL","ENSP00000339975"
"BACH1","ENSP00000447332"
"BACH1","ENSP00000449316"
"BACH1","ENSP00000448663"
"BACH1","ENSP00000449383"
"BACH1","ENSP00000286800"
"BACH1","ENSP00000382805"
"BACH1","ENSP00000448982"
"BACH1","ENSP00000400576"
"BACH1","ENSP00000408605"
"BACH1","ENSP00000392202"
"BACH1","ENSP00000416569"
"BACH1","ENSP00000470673"
"ADAMTS5","ENSP00000284987"
"ADAMTS5","ENSP00000498989"
"C2CD2","ENSP00000388704"
"C2CD2","ENSP00000329302"
"C2CD2","ENSP00000369853"
"CBY2","ENSP00000309189"
"CBY2","ENSP00000435230"
"CBY2","ENSP00000368249"
"CBY2","ENSP00000480148"
"CBR1","ENSP00000434613"
"CBR1","ENSP00000395132"
"CBR1","ENSP00000290349"
"CBR1","ENSP00000382143"
"CBR3","ENSP00000290354"
