"hgnc_symbol","ensembl_peptide_id"
"CACNA1C","ENSP00000495576"
"CACNA1C","ENSP00000494782"
"CACNA1C","ENSP00000496749"
"CACNA1C","ENSP00000494420"
"CACNA1C","ENSP00000496681"
"CACNA1C","ENSP00000494018"
"CACNA1C","ENSP00000493890"
"CACNA1C","ENSP00000493573"
"CACNA1C","ENSP00000495080"
"CACNA1C","ENSP00000495678"
"CACNA1C","ENSP00000518307"
"CACNA1C","ENSP00000518368"
"CACNA1C","ENSP00000518370"
"CACNA1C","ENSP00000495307"
"LRCH1","ENSP00000308493"
"LRCH1","ENSP00000374448"
"LRCH1","ENSP00000374447"
"LRCH1","ENSP00000417121"
"LRCH1","ENSP00000419256"
"SOX1","ENSP00000330218"
"MYO16","ENSP00000349145"
"MYO16","ENSP00000251041"
"MYO16","ENSP00000401633"
"MAPK4","ENSP00000383234"
"MAPK4","ENSP00000439231"
"MAPK4","ENSP00000466233"
"MAPK4","ENSP00000465661"
"SMAD2","ENSP00000262160"
"SMAD2","ENSP00000384449"
"SMAD2","ENSP00000466193"
"SMAD2","ENSP00000467075"
"SMAD2","ENSP00000466254"
"SMAD2","ENSP00000465355"
"SMAD2","ENSP00000468202"
"SMAD2","ENSP00000465971"
"SMAD2","ENSP00000468732"
"SMAD2","ENSP00000349282"
"LIF","ENSP00000249075"
"LIF","ENSP00000384450"
"ADRA1D","ENSP00000368766"
"ZBTB7C","ENSP00000439781"
"ZBTB7C","ENSP00000468782"
"ZBTB7C","ENSP00000468254"
"ZBTB7C","ENSP00000467877"
"ZBTB7C","ENSP00000467323"
"ZBTB7C","ENSP00000464724"
"ZBTB7C","ENSP00000468659"
"ZBTB7C","ENSP00000466006"
"ZBTB7C","ENSP00000467147"
"ZBTB7C","ENSP00000468087"
"ZBTB7C","ENSP00000468019"
"ZBTB7C","ENSP00000465265"
"ZBTB7C","ENSP00000468306"
"ZBTB7C","ENSP00000465760"
"ZBTB7C","ENSP00000468502"
"ZBTB7C","ENSP00000468537"
"ZBTB7C","ENSP00000465835"
"ZBTB7C","ENSP00000466944"
"ZBTB7C","ENSP00000466088"
"ZBTB7C","ENSP00000467758"
"ZBTB7C","ENSP00000465160"
"ZBTB7C","ENSP00000468814"
"ZBTB7C","ENSP00000467456"
"ZBTB7C","ENSP00000465832"
"ZBTB7C","ENSP00000468752"
"ZBTB7C","ENSP00000465494"
"ZBTB7C","ENSP00000467338"
"ZBTB7C","ENSP00000468152"
"TBC1D22A","ENSP00000336724"
"TBC1D22A","ENSP00000398828"
"TBC1D22A","ENSP00000384036"
"TBC1D22A","ENSP00000347932"
"TBC1D22A","ENSP00000377964"
"TBC1D22A","ENSP00000406214"
"TBC1D22A","ENSP00000385634"
"TBC1D22A","ENSP00000370383"
"ADAMTS1","ENSP00000284984"
"ADAMTS1","ENSP00000429557"
"ADAMTS1","ENSP00000503862"
"ADAMTS1","ENSP00000503982"
"ADAMTS1","ENSP00000503777"
"ADAMTS1","ENSP00000403404"
"ADAMTS1","ENSP00000504463"
