"hgnc_symbol","ensembl_peptide_id"
"IRX4","ENSP00000421772"
"IRX4","ENSP00000482393"
"IRX4","ENSP00000481396"
"MUC17","ENSP00000368751"
"MUC17","ENSP00000302716"
"EMB","ENSP00000302289"
"EMB","ENSP00000425215"
"EMB","ENSP00000426404"
"ANKRD18B","ENSP00000510683"
"ANKRD18B","ENSP00000290943"
"ANKRD18B","ENSP00000474332"
"ANKRD18B","ENSP00000515235"
"ANKRD18B","ENSP00000350607"
"ANKRD18B","ENSP00000473566"
"ANKRD18B","ENSP00000515236"
"FOXD4L6","ENSP00000484875"
"FAM135B","ENSP00000378710"
"FAM135B","ENSP00000429874"
"FAM135B","ENSP00000276737"
"FAM135B","ENSP00000160713"
"FAM135B","ENSP00000428017"
"TP53TG3B","ENSP00000339405"
"TP53TG3B","ENSP00000457303"
"TP53TG3B","ENSP00000456831"
"TP53TG3B","ENSP00000458724"
"MMADHC","ENSP00000301920"
"MMADHC","ENSP00000389060"
"MMADHC","ENSP00000408331"
"ANKRD30BL","ENSP00000386398"
"ANKRD30BL","ENSP00000295181"
"C1QTNF3","ENSP00000371497"
"C1QTNF3","ENSP00000231338"
"FRG1","ENSP00000518806"
"FRG1","ENSP00000435067"
"FRG1","ENSP00000226798"
"FRG1","ENSP00000436535"
"FRG1","ENSP00000435943"
"FRG1","ENSP00000462603"
"SENP5","ENSP00000390231"
"SENP5","ENSP00000327197"
"SENP5","ENSP00000396927"
"SENP5","ENSP00000405663"
"SENP5","ENSP00000415227"
"CCDC200","ENSP00000490021"
"CCDC200","ENSP00000490165"
"CCDC200","ENSP00000489656"
"CCDC200","ENSP00000490689"
"CCDC200","ENSP00000490609"
"CCDC200","ENSP00000490311"
"CCDC200","ENSP00000490542"
"CCDC200","ENSP00000490084"
"CCDC200","ENSP00000489626"
"CCDC200","ENSP00000489996"
"CCDC200","ENSP00000490754"
"CCDC200","ENSP00000489929"
"CCDC200","ENSP00000490713"
"SOX8","ENSP00000518813"
"SOX8","ENSP00000518814"
"SOX8","ENSP00000293894"
"SOX8","ENSP00000518815"
"SOX8","ENSP00000518816"
"CROCC","ENSP00000364691"
"CROCC","ENSP00000402626"
"CROCC","ENSP00000480016"
"CROCC","ENSP00000478281"
"NBPF10","ENSP00000463957"
"NBPF10","ENSP00000479344"
"NBPF10","ENSP00000483006"
"ZNF875","ENSP00000466467"
"ZNF875","ENSP00000498312"
"ZNF875","ENSP00000437774"
"ZNF875","ENSP00000465297"
"ZNF875","ENSP00000468528"
"ZNF875","ENSP00000465884"
"ZNF875","ENSP00000465899"
"ZNF875","ENSP00000375994"
"ZNF875","ENSP00000466360"
"ZNF875","ENSP00000467822"
"ZNF875","ENSP00000468176"
"ZNF875","ENSP00000466533"
"ZNF875","ENSP00000467562"
"ZNF875","ENSP00000315505"
"ZNF875","ENSP00000466472"
"ZNF875","ENSP00000466498"
"ZNF875","ENSP00000438261"
"ZNF875","ENSP00000466856"
"ZNF875","ENSP00000468572"
"ZNF875","ENSP00000465862"
"PPIAL4F","ENSP00000485638"
"PDE4DIP","ENSP00000512157"
"PDE4DIP","ENSP00000512158"
"PDE4DIP","ENSP00000512159"
"PDE4DIP","ENSP00000512160"
"PDE4DIP","ENSP00000516481"
"PDE4DIP","ENSP00000482121"
"PDE4DIP","ENSP00000512174"
"PDE4DIP","ENSP00000480806"
"PDE4DIP","ENSP00000479601"
"PDE4DIP","ENSP00000462316"
"PDE4DIP","ENSP00000512161"
